KEY,PBS,Lo,Med,Hi,AveExpr,F,P.Value,adj.P.Val,SYMBOL
Sytl4,7.806481998271442,7.875722341862597,7.696547649257676,7.749331431580916,7.782020855243157,6445.523906963783,4.046154848954776e-23,4.0795856780818217e-22,Sytl4
Asns,5.624226275012733,5.728899420873738,5.5231964017260715,5.393425362128966,5.567436864935377,6445.458232209177,4.0464497773349665e-23,4.0795856780818217e-22,Asns
Mtr,6.101068229593852,6.0790402691878,6.008137410521915,6.0950313002950525,6.070819302399656,6444.91586144969,4.0488863613909303e-23,4.0796037190908494e-22,Mtr
Clpb,5.1505527407400375,4.900780016112698,4.915181618475416,4.960019966920622,4.981633585562194,6444.360981308189,4.051380874088252e-23,4.0796800718356146e-22,Clpb
Sike1,5.04152653080377,5.175064508640715,5.12799516973015,5.147834904254091,5.1231052783571815,6440.310005473453,4.06964555896574e-23,4.0956271863409983e-22,Sike1
Rps5,8.217019604702159,7.632166516385124,7.781527637303971,7.722436017406612,7.838287443949468,6439.102337350049,4.0751087328876126e-23,4.0986797255584594e-22,Rps5
Lsm14a,6.061050469205718,6.311301519957742,6.248890576516361,6.208757663412529,6.207500057273087,6435.106707382721,4.0932435802657107e-23,4.1130172091074696e-22,Lsm14a
Snap25,7.624477016119831,7.672047212137947,7.781129658551356,7.744970386678659,7.705656068371948,6434.887584843258,4.0942407624897383e-23,4.1130172091074696e-22,Snap25
Atf2,6.964953521786571,7.400512170097103,7.3323659442225235,7.169410468858004,7.2168105262410505,6426.764812386211,4.131401954663807e-23,4.1478783791258597e-22,Atf2
Dip2b,6.025363849972239,5.914992305190065,6.144373933289733,6.128877908563888,6.053401999253982,6425.195468457902,4.138625835723102e-23,4.1489305081960985e-22,Dip2b
Adgrl1,6.416749860022453,6.184947037994563,6.1659969423319705,6.329799296377458,6.274373284181611,6425.057124532486,4.1392633398051017e-23,4.1489305081960985e-22,Adgrl1
Hdac1,5.351084096504961,5.221801296848445,5.236733002199093,5.313547360228606,5.2807914389452755,6424.934331103396,4.1398292792399556e-23,4.1489305081960985e-22,Hdac1
Sec11a,6.146443937466284,5.9948581950698845,5.933991332267647,5.917966015149981,5.99831486998845,6414.608008137724,4.187739081166368e-23,4.194453389669426e-22,Sec11a
Gnl2,5.25448669685137,4.990943312729899,5.211101092645037,5.083327689865172,5.134964698022869,6413.944376499035,4.190839599030136e-23,4.1950677458066057e-22,Gnl2
H2afy,6.268780925394774,5.7979007964431535,5.945675035568595,5.968896147936684,5.995313226335802,6411.809255068524,4.2008327493058595e-23,4.200912918944813e-22,H2afy
Rala,5.348902440286357,5.42136653667683,5.369381742869011,5.3308797537194845,5.367632618387921,6411.632743632341,4.2016601021283565e-23,4.200912918944813e-22,Rala
Smad4,6.557327272686708,6.875033403890912,6.79702200457857,6.694804713218414,6.7310468485936505,6410.010635186345,4.2092720276833983e-23,4.2049474319098687e-22,Smad4
Nek7,7.0175291596729394,7.4561586203013634,7.42270227428528,7.356582111783462,7.313243041510762,6409.7106766748,4.210681337816902e-23,4.2049474319098687e-22,Nek7
Frmd5,5.44079601242879,5.4779280043692165,5.454609126469041,5.36765484280188,5.4352469965172325,6408.339716358686,4.217129439146566e-23,4.2061610529337613e-22,Frmd5
Zxdc,5.16060382176272,5.051252675943809,5.105727606141918,5.164260628949673,5.12046118319953,6408.272526439921,4.217445745783896e-23,4.2061610529337613e-22,Zxdc
Naa35,4.954266367004463,5.004868580340677,4.868413932926949,4.862735970252235,4.922571212631081,6407.862247980502,4.2193777800224844e-23,4.2061610529337613e-22,Naa35
Gstm5,5.004988124105748,4.8978987467309585,4.793557425626472,4.8095887318024175,4.8765082570664,6407.113383384689,4.222906845086841e-23,4.207013904646815e-22,Gstm5
Ubl5,5.661975582188923,5.398924916249618,5.496892998930249,5.4165322858893115,5.493581445814525,6406.62254619841,4.2252217670431637e-23,4.207013904646815e-22,Ubl5
Armc8,5.529579448626707,5.671366834512836,5.581621984353327,5.569503599293867,5.588017966696684,6404.736624515903,4.234129751907853e-23,4.2133962551875964e-22,Armc8
Srsf6,7.258958826643994,7.751843679156872,7.607713062194438,7.492999189209856,7.527878689301291,6398.707309353078,4.262752617942173e-23,4.239377854176335e-22,Srsf6
Txndc12,4.945481362706431,4.943762287860903,4.993516116049203,4.989901010841493,4.9681651943645075,6397.972498646597,4.266256024185274e-23,4.24036183617755e-22,Txndc12
Kcnma1,5.828750247369465,6.190636046580195,5.975021852572816,6.010828122928609,6.001309067362771,6394.183685793234,4.2843723655957843e-23,4.255860346908369e-22,Kcnma1
Cdkn1b,7.302094142754043,7.630746300074703,7.480226804265058,7.456442196857019,7.467377360987706,6390.974828771272,4.299784222733276e-23,4.268655708348567e-22,Cdkn1b
Kmt2d,7.419855538536023,7.360292563929804,7.393699131051516,7.563040255295151,7.434221872203123,6389.029494513285,4.3091582521710967e-23,4.272760706852044e-22,Kmt2d
Ptpa,6.0943589851524145,5.765627978955301,5.827893134681263,5.872314749726096,5.890048712128769,6388.87632364663,4.309897328960585e-23,4.272760706852044e-22,Ptpa
Parp6,5.4456824465952955,5.413982889326373,5.386295346306347,5.330349044079797,5.394077431576953,6388.540389300759,4.311518778124254e-23,4.272760706852044e-22,Parp6
Trps1,6.478381193692492,7.051980795716684,6.7866759530381024,6.52855174679028,6.711397422309389,6387.728091351537,4.3154423580236295e-23,4.274137771743075e-22,Trps1
Pcgf3,5.797371483590906,5.976166341857084,6.007525635823368,5.80479633118863,5.896464948114997,6384.083252940414,4.3330979088255554e-23,4.289105776300507e-22,Pcgf3
Plcg1,5.027497438265266,5.004647560051208,4.898963213092122,5.02841132092605,4.9898798830836615,6379.912442392528,4.353402346874574e-23,4.3066766794565065e-22,Plcg1
Myo9a,6.348238190002275,6.702587701589417,6.599729343869937,6.495280193682282,6.536458857285978,6373.99055846623,4.3824179625411237e-23,4.332839611616714e-22,Myo9a
Dnajb14,5.914985725466384,6.173244530644222,6.088448044137836,6.088715451554036,6.06634843795062,6368.623348273019,4.4089063629781555e-23,4.356474729018896e-22,Dnajb14
